"","state","state_j","score","name_x","pro_blm_ratio_x","topic_blm_ratio_x","name_y","pro_blm_ratio_y","topic_blm_ratio_y","contig","dif_mrp_ideology","dif_urban_index","dif_white","dif_black","dif_med_inc","dif_population","sim_score","dif_ratio"
"90","AZ","AL",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Kay Ivey",0,0.0209923664122137,0,0.16156761,1.6900001,0.062700003,0.22059999,12399,2127223,0.067307696,0.0137770969286782
"91","AZ","CA",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Gavin Newsom",0.0078125,0.037109375,1,0.23509662,0.88999999,0.1772,0.0119,10564,32386720,0.096153848,0.0023399116591081
"92","AZ","CO",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Jared Polis",0.0245901639344262,0.10655737704918,1,0.093386337,0.15000001,0.077500001,0.0038000001,16689,1377788,0.13461539,0.0717879137082881
"93","AZ","CT",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Ned Lamont",0.00519210799584631,0.0280373831775701,0,0.21789482,0.11,0.0044999998,0.061700001,12344,3545558,0,0.0067320801633218
"94","AZ","DE",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"John Carney",0.00427960057061341,0.0513552068473609,0,0.10770487,0.28999999,0.063299999,0.17460001,2934,6161554,0.01923077,0.016585743506469
"95","AZ","FL",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Ron DeSantis",0,0.0117056856187291,0,0.034337018,0.16,0.021299999,0.1141,9325,14386685,0.13461539,0.0230637777221628
"96","AZ","GA",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Brian Kemp",0,0.0491803278688525,0,0.023541732,0.75,0.1652,0.27039999,7823,3560406,0.125,0.0144108645279606
"97","AZ","HI",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"David Ige",0,0.00635593220338983,0,0.24590148,0.20999999,0.4962,0.0265,13737,5696231,0.048076924,0.0284135311375021
"98","AZ","IA",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Kim Reynolds",0,0.012987012987013,0,0.0066039115,1.71,0.1532,0.0081000002,1728,3961133,0.048076924,0.0217824503538789
"99","AZ","ID",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Brad Little",0.0040650406504065,0.0203252032520325,0,0.23641135,1.71,0.1464,0.038699999,363,5312396,0.048076924,0.0144442600888594
"100","AZ","IL",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"J. B. Pritzker",0.0114192495921697,0.0424143556280587,0,0.15803167,0.31999999,0.039799999,0.096000001,7246,5661006,0.048076924,0.0076448922871668
"101","AZ","IN",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Eric Holcomb",0.00173913043478261,0.0104347826086957,0,0.054372102,0.88999999,0.085100003,0.0491,283,365974,0.01923077,0.0243346807321962
"102","AZ","KS",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Laura Kelly",0.0135440180586907,0.0406320541760722,0,0.032184158,1.1799999,0.091899998,0.0116,5994,4213622,0.067307696,0.0058625908351803
"103","AZ","KY",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Andy Beshear",0.00087108013937282,0.0174216027874564,0,0.098132156,1.51,0.1248,0.035700001,10333,2645666,0.048076924,0.0173478605534355
"104","AZ","LA",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"John Bel Edwards",0,0.0166374781085814,0,0.13949521,1.12,0.1252,0.2764,15902,2493745,0.096153848,0.0181319852323105
"105","AZ","MA",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Charlie Baker",0,0.0342298288508557,0,0.32571241,0.54000002,0.027899999,0.0294,20724,121585,0.01923077,0.000539634490036196
